Region,Country,Both sexes,Female,Male
Africa,Algeria,0.8,0.0,1.5
Africa,Angola,6.0,1.7,10.6
Africa,Benin,6.4,2.1,10.8
Africa,Botswana,7.1,1.9,12.4
Africa,Burkina Faso,1.8,0.3,3.4
Africa,Burundi,6.8,2.3,11.6
Africa,Cabo Verde,6.3,2.0,10.7
Africa,Cameroon,7.0,2.3,11.8
Africa,Central African Republic,3.8,0.9,6.8
Africa,Chad,0.7,0.0,1.4
Africa,Comoros,0.7,0.0,1.4
Africa,Congo,2.1,0.5,3.8
Africa,Côte d’Ivoire,10.0,4.1,15.6
Africa,Democratic Republic of the Congo,5.0,1.0,9.1
Africa,Equatorial Guinea,6.8,2.0,11.2
Africa,Eritrea,2.2,0.4,4.1
Africa,Eswatini,7.1,2.4,12.0
Africa,Ethiopia,2.5,0.5,4.5
Africa,Gabon,6.9,2.1,11.5
Africa,Gambia,1.0,0.1,1.9
Africa,Ghana,4.1,1.0,7.3
Africa,Guinea,0.7,0.0,1.4
Africa,Guinea-Bissau,1.0,0.1,2.0
Africa,Kenya,4.0,0.9,7.1
Africa,Lesotho,5.2,1.3,9.3
Africa,Liberia,5.2,1.3,9.2
Africa,Madagascar,2.6,0.5,4.7
Africa,Malawi,3.5,0.7,6.3
Africa,Mali,0.8,0.0,1.5
Africa,Mauritania,0.4,0.1,0.7
Africa,Mauritius,5.5,1.4,9.8
Africa,Mozambique,3.2,0.7,5.9
Africa,Namibia,6.3,2.1,10.9
Africa,Niger,0.7,0.0,1.4
Africa,Nigeria,0.6,0.1,1.1
Africa,Rwanda,7.0,2.5,12.2
Africa,Sao Tome and Principe,6.4,1.9,10.9
Africa,Senegal,0.7,0.0,1.4
Africa,Seychelles,7.3,2.3,12.2
Africa,Sierra Leone,3.5,0.7,6.3
Africa,South Africa,7.0,1.8,12.4
Africa,Togo,9.5,4.0,15.1
Africa,Uganda,7.1,1.9,12.4
Africa,United Republic of Tanzania,6.8,2.2,11.5
Africa,Zambia,5.5,1.2,9.8
Africa,Zimbabwe,6.4,2.0,11.1
Americas,Antigua and Barbuda,6.5,3.7,9.8
Americas,Argentina,6.8,3.0,10.8
Americas,Bahamas,6.7,3.7,9.9
Americas,Barbados,6.7,3.7,10.1
Americas,Belize,7.3,2.4,12.4
Americas,Bolivia (Plurinational State of),6.7,3.7,9.8
Americas,Brazil,4.2,1.6,6.9
Americas,Canada,8.0,4.1,12.0
Americas,Chile,6.0,1.9,10.3
Americas,Colombia,7.0,3.8,10.4
Americas,Costa Rica,6.9,3.4,10.4
Americas,Cuba,6.6,3.6,9.6
Americas,Dominica,6.8,3.7,9.9
Americas,Dominican Republic,6.8,3.7,9.9
Americas,Ecuador,6.7,3.7,9.7
Americas,El Salvador,6.2,3.6,9.3
Americas,Grenada,6.6,3.6,9.6
Americas,Guatemala,6.4,3.7,9.5
Americas,Guyana,7.2,3.8,10.5
Americas,Haiti,6.9,3.8,10.3
Americas,Honduras,6.7,3.7,9.7
Americas,Jamaica,5.2,2.3,8.2
Americas,Mexico,2.3,0.4,4.3
Americas,Nicaragua,6.6,3.7,9.7
Americas,Panama,6.8,3.7,9.9
Americas,Paraguay,7.0,3.7,10.2
Americas,Peru,8.9,3.8,14.0
Americas,Saint Kitts and Nevis,6.6,3.6,9.7
Americas,Saint Lucia,6.5,3.6,9.5
Americas,Saint Vincent and the Grenadines,6.9,3.7,10.0
Americas,Suriname,6.9,3.7,10.0
Americas,Trinidad and Tobago,6.7,3.7,9.9
Americas,United States of America,13.9,10.4,17.6
Americas,Uruguay,6.4,3.4,9.6
Americas,Venezuela (Bolivarian Republic of),6.9,3.8,10.0
Eastern Mediterranean,Afghanistan,0.4,0.1,0.6
Eastern Mediterranean,Bahrain,1.6,0.3,2.3
Eastern Mediterranean,Djibouti,0.8,0.2,1.4
Eastern Mediterranean,Egypt,1.4,0.2,2.6
Eastern Mediterranean,Iran (Islamic Republic of),1.0,0.1,1.8
Eastern Mediterranean,Iraq,0.4,0.1,0.7
Eastern Mediterranean,Jordan,0.4,0.1,0.7
Eastern Mediterranean,Kuwait,0.4,0.1,0.6
Eastern Mediterranean,Lebanon,8.7,1.6,15.8
Eastern Mediterranean,Libya,0.3,0.1,0.5
Eastern Mediterranean,Morocco,0.4,0.1,0.8
Eastern Mediterranean,Oman,0.4,0.1,0.6
Eastern Mediterranean,Pakistan,0.4,0.1,0.6
Eastern Mediterranean,Qatar,0.3,0.1,0.4
Eastern Mediterranean,Saudi Arabia,0.3,0.1,0.5
Eastern Mediterranean,Somalia,0.4,0.1,0.6
Eastern Mediterranean,Sudan,1.3,0.3,2.3
Eastern Mediterranean,Syrian Arab Republic,0.6,0.1,1.0
