,Country,tot_alcohol_consumption_per_capita_liters,gdp_per_capita,Population,Region
2,Afghanistan,0.209999993443489,2068.265869140625,33753500.0,Asia
595,Albania,6.739999771118164,11878.4541015625,2882482.0,Europe
854,Algeria,0.9300000071525574,11696.9501953125,39543148.0,Africa
1486,Angola,7.960000038146973,8036.4111328125,28127724.0,Africa
1870,Antigua and Barbuda,5.889999866485596,18594.544921875,89958.0,North America
2129,Argentina,9.550000190734863,23933.88671875,43257064.0,South America
2388,Armenia,5.840000152587891,11321.3330078125,2878598.0,Asia
3088,Australia,10.829999923706056,47569.29296875,23820240.0,Oceania
3347,Austria,12.06999969482422,52873.859375,8642422.0,Europe
3607,Azerbaijan,4.579999923706055,14852.611328125,9863485.0,Asia
3867,Bahamas,4.550000190734863,36023.59375,392707.0,North America
4126,Bahrain,1.2999999523162842,48110.734375,1362157.0,Asia
4385,Bangladesh,0.0209999997168779,3700.11083984375,157830000.0,Asia
4644,Barbados,9.329999923706056,15382.765625,278095.0,North America
4900,Belarus,12.0,18362.74609375,9700609.0,Europe
5159,Belgium,11.81999969482422,49456.3984375,11248306.0,Europe
5418,Belize,6.739999771118164,7358.61865234375,359884.0,North America
5677,Benin,2.970000028610229,2945.97021484375,10932791.0,Africa
6024,Bhutan,0.4199999868869781,10086.0732421875,743284.0,Asia
6283,Bolivia,4.639999866485596,7984.412109375,11090090.0,South America
6614,Bosnia and Herzegovina,6.920000076293945,12630.6669921875,3524328.0,Europe
6873,Botswana,6.860000133514404,14895.9052734375,2305177.0,Africa
7133,Brazil,7.860000133514404,15064.17578125,205188208.0,South America
7474,Brunei,0.4600000083446502,63147.484375,421449.0,Asia
7733,Bulgaria,12.34000015258789,19988.224609375,7309255.0,Europe
7992,Burkina Faso,11.829999923706056,1925.33203125,18718022.0,Africa
8251,Burundi,7.03000020980835,825.2056884765625,10727153.0,Africa
8510,Cambodia,6.369999885559082,3541.376708984375,15417527.0,Asia
8769,Cameroon,6.170000076293945,3570.424560546875,23012650.0,Africa
9026,Canada,8.880000114440918,47522.140625,35732120.0,North America
9287,Cape Verde,5.949999809265137,6266.8818359375,552169.0,Africa
