Region,Country,Both sexes,Female,Male
Africa,Algeria,3.2,1.5,4.8
Africa,Angola,47.7,34.3,61.6
Africa,Benin,26.1,15.4,37
Africa,Botswana,32,20,44
Africa,Burkina Faso,36.9,23.2,51.2
Africa,Burundi,31.6,20,43.7
Africa,Cabo Verde,39.4,25,53.8
Africa,Cameroon,33.8,21.4,46.9
Africa,Central African Republic,37.6,24.9,50.8
Africa,Chad,22.4,13.1,31.7
Africa,Comoros,4.1,1.9,6.2
Africa,Congo,51.7,38,65.5
Africa,Côte d’Ivoire,38.5,24.1,52.3
Africa,Democratic Republic of the Congo,36.4,23.8,49.2
Africa,Equatorial Guinea,72.9,61.7,83.3
Africa,Eritrea,20.3,11.6,29.2
Africa,Eswatini,28.8,17.7,40.4
Africa,Ethiopia,22.6,13.2,32.1
Africa,Gabon,66.5,54.1,78.6
Africa,Gambia,26.7,16.2,37.8
Africa,Ghana,26,15.7,36.8
Africa,Guinea,21.6,12.6,30.7
Africa,Guinea-Bissau,28.8,17.5,40.5
Africa,Kenya,23.9,14,33.8
Africa,Lesotho,17.8,9.9,26.1
Africa,Liberia,30.8,18.9,42.7
Africa,Madagascar,20.9,12,30
Africa,Malawi,23.7,13.9,33.6
Africa,Mali,21.9,12.8,31.1
Africa,Mauritania,0.9,0.5,1.4
Africa,Mauritius,31.2,19.5,43.4
Africa,Mozambique,21,12.3,30.5
Africa,Namibia,30.3,19.1,42.4
Africa,Niger,20.2,11.7,28.8
Africa,Nigeria,52.6,37.7,67
Africa,Rwanda,35,23.4,48.4
Africa,Sao Tome and Principe,34,21.5,46.8
Africa,Senegal,21.1,12.5,30.4
Africa,Seychelles,54.9,40.9,68.7
Africa,Sierra Leone,30.9,19.2,43.1
Africa,Togo,25.7,15.2,36.5
Africa,Uganda,36.3,23.8,49.1
Africa,United Republic of Tanzania,36.4,24,49.3
Africa,Zambia,27.3,16.5,38.3
Africa,Zimbabwe,17.6,10,25.7
Americas,Antigua and Barbuda,49.4,36.5,63.9
Americas,Argentina,67.4,55.7,79.9
Americas,Bahamas,43.8,30.5,57.9
Americas,Barbados,50.5,37.4,65.2
Americas,Belize,41.5,28.4,54.9
Americas,Bolivia (Plurinational State of),45.4,31.9,59.1
Americas,Brazil,40.3,27.3,54
Americas,Canada,64.5,52.1,77.3
Americas,Chile,67.6,55.8,80
Americas,Colombia,38.3,25.6,51.7
Americas,Costa Rica,36.6,23.9,49.5
Americas,Cuba,46.1,32.3,59.9
Americas,Dominica,45.2,31.7,59
Americas,Dominican Republic,43,29.7,56.7
Americas,Ecuador,46.5,32.9,60.3
Americas,El Salvador,29.4,19,41.8
Americas,Grenada,49.6,35.7,63.6
Americas,Guatemala,27.3,16.9,38.6
Americas,Guyana,39.1,25.9,52.2
Americas,Haiti,35.1,22.9,47.9
Americas,Honduras,29.8,18.5,41.3
Americas,Jamaica,34.9,22.6,47.4
Americas,Mexico,42.7,29.4,56.4
Americas,Nicaragua,32.5,20.8,44.9
Americas,Panama,47.7,34,61.5
Americas,Paraguay,36,23.2,48.4
Americas,Peru,53.2,39.6,67.1
Americas,Saint Kitts and Nevis,54.8,41.3,68.6
Americas,Saint Lucia,49.7,36.3,63.9
Americas,Saint Vincent and the Grenadines,46.6,32.8,60.3
Americas,Suriname,42.2,28.7,55.8
Americas,Trinidad and Tobago,58.7,45.6,72.5
Americas,United States of America,71.7,60.7,83
Americas,Uruguay,68.9,57.6,81.3
Americas,Venezuela (Bolivarian Republic of),38,25.2,51.2
