Region,Country,Both sexes,Female,Male
Africa,Algeria,19.3,6.2,23.5
Africa,Angola,81.6,66.8,90.1
Africa,Benin,37.3,15.8,46.5
Africa,Botswana,59.4,34.8,70.8
Africa,Burkina Faso,46.3,22.5,57.5
Africa,Burundi,52.6,28.6,64.2
Africa,Cabo Verde,41.9,19.2,52.7
Africa,Cameroon,47.4,23.7,58.5
Africa,Central African Republic,77.3,59.1,86.6
Africa,Chad,34.8,14.3,43.4
Africa,Comoros,6.7,1.9,8.2
Africa,Congo,82.6,68.6,90.7
Africa,Côte d’Ivoire,46.6,23.1,56.9
Africa,Democratic Republic of the Congo,77.1,58.6,86.3
Africa,Equatorial Guinea,88.1,79.1,94.3
Africa,Eritrea,42.9,19.3,52.5
Africa,Eswatini,60.0,35.2,71.4
Africa,Ethiopia,45.2,21.3,55.2
Africa,Gabon,86.2,75.6,93.3
Africa,Gambia,38.1,16.8,47.7
Africa,Ghana,36.2,15.4,45.5
Africa,Guinea,33.4,13.5,41.6
Africa,Guinea-Bissau,39.5,17.5,49.2
Africa,Kenya,46.0,21.9,56.1
Africa,Lesotho,50.8,24.9,61.0
Africa,Liberia,41.3,18.7,51.3
Africa,Madagascar,43.5,19.9,53.1
Africa,Malawi,46.6,22.3,56.8
Africa,Mali,34.3,13.8,42.7
Africa,Mauritania,4.3,1.2,5.3
Africa,Mauritius,32.4,13.3,41.3
Africa,Mozambique,43.7,20.3,54.0
Africa,Namibia,59.7,35.5,71.6
Africa,Niger,32.2,13.0,40.1
Africa,Nigeria,55.0,31.8,67.7
Africa,Rwanda,54.6,31.1,67.7
Africa,Sao Tome and Principe,43.6,20.6,54.5
Africa,Senegal,32.9,13.3,41.6
Africa,Seychelles,46.8,24.6,59.9
Africa,Sierra Leone,41.4,19.1,51.6
Africa,South Africa,59.0,33.7,70.8
Africa,South Sudan,,,
Africa,Togo,36.9,15.7,46.2
Africa,Uganda,56.9,32.6,68.8
Africa,United Republic of Tanzania,55.8,32.1,67.8
Africa,Zambia,49.3,24.8,60.1
Africa,Zimbabwe,50.6,25.5,60.9
Americas,Antigua and Barbuda,47.2,25.9,60.9
Americas,Argentina,32.5,15.2,45.5
Americas,Bahamas,43.5,21.7,55.7
Americas,Barbados,46.9,25.8,60.5
Americas,Belize,47.3,24.7,59.3
Americas,Bolivia (Plurinational State of),46.5,24.2,58.6
Americas,Brazil,48.1,25.1,60.3
Americas,Canada,32.9,15.5,45.0
Americas,Chile,32.0,14.7,44.5
Americas,Colombia,39.9,18.6,51.0
Americas,Costa Rica,38.0,17.2,48.2
Americas,Cuba,43.4,21.7,55.0
Americas,Dominica,47.1,24.8,59.3
Americas,Dominican Republic,46.1,23.9,58.1
Americas,Ecuador,45.8,23.7,58.1
Americas,El Salvador,34.8,15.5,45.4
Americas,Grenada,50.8,27.8,63.7
Americas,Guatemala,35.0,14.9,44.6
Americas,Guyana,45.7,22.7,57.0
Americas,Haiti,44.1,21.5,55.5
Americas,Honduras,37.3,16.3,46.8
Americas,Jamaica,40.8,19.2,51.3
Americas,Mexico,42.5,20.8,54.2
Americas,Nicaragua,38.7,17.4,49.3
Americas,Panama,44.5,22.7,56.6
Americas,Paraguay,48.2,24.6,59.2
Americas,Peru,49.5,27.4,62.8
Americas,Saint Kitts and Nevis,51.1,29.3,64.5
Americas,Saint Lucia,49.7,27.8,62.9
Americas,Saint Vincent and the Grenadines,48.4,25.7,60.5
Americas,Suriname,44.4,21.9,56.1
Americas,Trinidad and Tobago,50.7,29.2,64.8
Americas,United States of America,36.4,18.3,50.0
Americas,Uruguay,32.9,15.6,46.4
Americas,Venezuela (Bolivarian Republic of),39.5,18.2,50.2
Eastern Mediterranean,Afghanistan,2.0,0.5,2.3
Eastern Mediterranean,Bahrain,29.5,9.4,33.0
Eastern Mediterranean,Djibouti,40.8,17.9,49.8
Eastern Mediterranean,Egypt,18.5,5.9,22.6
Eastern Mediterranean,Iran (Islamic Republic of),4.1,0.6,4.7
Eastern Mediterranean,Iraq,20.1,6.5,24.5
Eastern Mediterranean,Jordan,19.8,6.3,23.9
Eastern Mediterranean,Kuwait,4.1,1.1,4.8
Eastern Mediterranean,Lebanon,20.2,6.8,24.5
Eastern Mediterranean,Libya,2.1,0.6,2.5
Eastern Mediterranean,Morocco,17.7,5.7,21.8
Eastern Mediterranean,Oman,28.6,8.9,31.3
Eastern Mediterranean,Pakistan,5.3,1.5,6.5
Eastern Mediterranean,Qatar,50.7,20.9,55.3
Eastern Mediterranean,Saudi Arabia,2.9,0.8,3.6
Eastern Mediterranean,Somalia,6.2,1.7,7.6
Eastern Mediterranean,Sudan,18.1,5.7,22.1
Eastern Mediterranean,Syrian Arab Republic,2.0,0.5,2.3
Eastern Mediterranean,Tunisia,21.1,6.3,23.9
Eastern Mediterranean,United Arab Emirates,39.0,13.9,41.7
Eastern Mediterranean,Yemen,1.9,0.5,2.3
Europe,Albania,44.7,23.7,57.4
Europe,Andorra,40.5,21.7,55.0
Europe,Armenia,40.3,18.9,51.6
Europe,Austria,42.5,23.8,58.0
Europe,Azerbaijan,36.9,15.6,46.0
Europe,Belarus,34.1,17.7,51.3
Europe,Belgium,42.1,23.3,57.3
Europe,Bosnia and Herzegovina,41.8,20.4,53.7
Europe,Bulgaria,50.6,29.8,65.9
Europe,Croatia,46.3,25.3,60.8
Europe,Cyprus,40.8,20.9,54.3
Europe,Czechia,55.9,36.1,71.6
Europe,Denmark,40.0,21.5,54.3
Europe,Estonia,57.4,37.7,74.5
Europe,Finland,39.0,20.4,53.3
Europe,France,41.5,23.0,56.7
Europe,Georgia,47.0,23.9,59.4
Europe,Germany,43.1,24.4,58.7
Europe,Greece,36.1,18.0,49.4
Europe,Hungary,50.3,29.7,66.3
Europe,Iceland,39.2,20.5,52.9
Europe,Ireland,46.5,27.6,62.2
Europe,Israel,31.1,13.7,42.1
Europe,Italy,32.6,15.2,44.9
Europe,Kazakhstan,49.2,26.0,62.2
Europe,Kyrgyzstan,44.4,20.8,54.9
Europe,Latvia,59.0,40.2,76.5
Europe,Lithuania,62.3,44.6,79.5
Europe,Luxembourg,52.7,34.3,69.5
Europe,Malta,34.7,16.5,46.8
Europe,Monaco,,,
Europe,Montenegro,45.2,23.9,58.4
Europe,Netherlands,38.1,19.7,51.9
Europe,Norway,40.5,21.9,55.2
Europe,Poland,51.6,31.1,67.3
Europe,Portugal,38.4,20.3,53.1
Europe,Republic of Moldova,40.9,21.3,56.0
Europe,Romania,51.7,31.2,67.2
Europe,Russian Federation,60.6,43.7,78.8
Europe,San Marino,,,
Europe,Serbia,48.4,27.4,62.7
Europe,Slovakia,52.3,31.7,68.1
Europe,Slovenia,52.6,32.0,67.9
Europe,Spain,37.3,18.8,51.1
Europe,Sweden,38.3,20.0,52.1
Europe,Switzerland,43.9,25.2,59.6
Europe,Tajikistan,40.6,17.9,49.7
Europe,The former Yugoslav Republic of Macedonia,45.8,24.2,58.8
Europe,Turkmenistan,45.8,22.3,57.0
Europe,Türkiye,21.7,6.9,25.9
Europe,Ukraine,28.3,13.3,43.1
Europe,United Kingdom of Great Britain and Northern Ireland,40.6,22.0,55.1
Europe,Uzbekistan,39.1,16.9,48.6
South-East Asia,Bangladesh,36.8,14.4,43.1
South-East Asia,Bhutan,37.8,16.0,45.6
South-East Asia,Democratic People's Republic of Korea,33.5,14.2,44.1
South-East Asia,India,44.4,21.4,55.1
South-East Asia,Indonesia,28.6,10.8,35.9
South-East Asia,Maldives,4.6,1.3,5.7
South-East Asia,Myanmar,33.4,13.8,42.5
South-East Asia,Nepal,36.7,16.5,46.8
South-East Asia,Sri Lanka,31.7,13.2,40.8
South-East Asia,Thailand,38.4,17.8,49.4
South-East Asia,Timor-Leste,30.3,11.7,37.7
Western Pacific,Australia,45.3,26.4,60.7
Western Pacific,Brunei Darussalam,30.6,19.4,38.8
Western Pacific,Cambodia,37.3,16.3,47.7
Western Pacific,China,40.7,20.1,52.9
Western Pacific,Cook Islands,81.0,65.9,89.8
Western Pacific,Fiji,62.4,36.7,72.0
Western Pacific,Japan,40.0,20.3,53.0
Western Pacific,Kiribati,57.9,31.7,68.1
Western Pacific,Lao People's Democratic Republic,43.8,21.5,55.6
Western Pacific,Malaysia,31.2,12.7,39.6
Western Pacific,Marshall Islands,,,
Western Pacific,Micronesia (Federated States of),62.4,36.2,71.8
Western Pacific,Mongolia,48.7,24.7,60.2
Western Pacific,Nauru,68.4,44.4,78.3
Western Pacific,New Zealand,42.9,24.4,58.0
Western Pacific,Niue,72.7,51.4,82.7
Western Pacific,Palau,,,
Western Pacific,Papua New Guinea,60.7,34.0,70.2
Western Pacific,Philippines,38.0,16.6,47.9
Western Pacific,Republic of Korea,47.7,26.6,62.2
Western Pacific,Samoa,62.2,35.6,71.5
Western Pacific,Singapore,42.9,23.5,57.4
Western Pacific,Solomon Islands,60.3,34.4,69.9
Western Pacific,Tonga,59.8,33.6,69.8
Western Pacific,Tuvalu,61.1,35.0,71.0
Western Pacific,Vanuatu,59.5,33.7,69.1
Western Pacific,Viet Nam,39.3,17.7,50.2
