Country,Lifetime Abstainers
Afghanistan,99.1
Albania,25.2
Algeria,93.5
Andorra,10.3
Angola,33.9
Antigua and Barbuda,27.7
Argentina,6.7
Armenia,45.5
Australia,8.5
Austria,8.8
Azerbaijan,53.2
Bahamas,33.0
Bahrain,84.4
Bangladesh,92.5
Barbados,25.1
Belarus,7.5
Belgium,9.4
Belize,34.4
Benin,69.5
Bhutan,64.8
Bolivia,12.0
Bosnia and Herzegovina,27.4
Botswana,53.0
Brazil,21.4
Brunei,38.6
Bulgaria,13.9
Burkina Faso,58.5
Burundi,52.9
Cambodia,45.6
Cameroon,60.9
Canada,12.2
Cape Verde,55.7
Central African Republic,43.7
Chad,72.7
Chile,6.6
China,42.1
Colombia,26.4
Comoros,93.3
Congo,29.7
Cook Islands,24.0
Costa Rica,27.9
Cote d'Ivoire,56.7
Croatia,18.5
Cuba,29.7
Cyprus,13.6
Czechia,9.3
Democratic Republic of Congo,45.1
Denmark,10.7
Djibouti,68.9
Dominica,30.2
Dominican Republic,32.8
Ecuador,11.6
Egypt,94.3
El Salvador,35.0
Equatorial Guinea,14.5
Eritrea,68.1
Estonia,11.6
Eswatini,55.8
Ethiopia,64.7
Fiji,60.2
Finland,11.4
France,9.8
Gabon,18.3
Gambia,68.5
Georgia,33.9
Germany,7.9
Ghana,69.5
Greece,15.0
Grenada,26.6
Guatemala,38.2
Guinea,73.6
Guinea-Bissau,66.1
Guyana,36.3
Haiti,40.4
Honduras,34.8
Hungary,14.2
Iceland,12.7
India,53.5
Indonesia,57.2
Iran,96.0
Iraq,93.8
Ireland,7.4
Israel,24.4
Italy,27.4
Jamaica,40.8
Japan,9.1
Jordan,93.9
Kazakhstan,31.5
Kenya,63.1
Kiribati,70.5
Kuwait,97.9
Kyrgyzstan,46.0
Laos,35.5
Latvia,10.2
Lebanon,90.1
Lesotho,70.6
Liberia,63.7
Libya,99.5
Lithuania,8.1
Luxembourg,3.4
Madagascar,67.0
Malawi,63.2
Malaysia,49.6
Maldives,85.8
Mali,73.2
Malta,17.2
Mauritania,98.0
Mauritius,45.9
Mexico,23.1
Micronesia (country),64.7
Moldova,11.4
Mongolia,37.3
Montenegro,22.9
Morocco,94.6
Mozambique,66.8
Myanmar,50.1
Namibia,54.3
Nauru,53.7
Nepal,66.9
Netherlands,12.1
New Zealand,10.6
Nicaragua,31.6
Niger,75.2
Nigeria,43.1
Niue,41.3
North Korea,58.0
North Macedonia,23.1
Norway,9.3
Oman,85.3
Pakistan,96.5
Panama,19.5
Papua New Guinea,67.6
Paraguay,24.7
Peru,8.8
Philippines,43.1
Poland,13.5
Portugal,12.6
Qatar,44.9
Romania,13.5
Russia,27.2
Rwanda,48.8
Saint Kitts and Nevis,22.8
Saint Lucia,26.0
Saint Vincent and the Grenadines,29.0
Samoa,63.1
Sao Tome and Principe,60.0
Saudi Arabia,93.4
Senegal,74.3
Serbia,17.9
Seychelles,23.2
Sierra Leone,63.5
Singapore,6.7
Slovakia,11.6
Slovenia,67.7
Solomon Islands,97.1
Somalia,53.5
South Korea,7.1
Spain,13.6
Sri Lanka,48.3
Sudan,95.2
Suriname,34.1
Sweden,11.6
Switzerland,7.5
Syria,97.7
Tajikistan,53.8
Tanzania,47.1
Thailand,34.5
Timor,58.0
Togo,69.9
Tonga,66.4
Trinidad and Tobago,20.5
Tunisia,91.3
Turkey,89.1
Turkmenistan,41.6
Tuvalu,66.4
Uganda,47.4
Ukraine,12.7
United Arab Emirates,70.6
United Kingdom,11.0
United States,9.2
Uruguay,6.0
Uzbekistan,53.9
Vanuatu,67.6
Venezuela,27.2
Vietnam,38.6
Yemen,99.0
Zambia,58.7
Zimbabwe,71.0
