Entity,Code,Year,"Indicator:Alcohol, abstainers past 12 months (%) - Sex:Both sexes"
Afghanistan,AFG,2016,99.3
Albania,ALB,2016,49
Algeria,DZA,2016,96.8
Andorra,AND,2016,25.4
Angola,AGO,2016,52.3
Antigua and Barbuda,ATG,2016,50.6
Argentina,ARG,2016,32.6
Armenia,ARM,2016,74
Australia,AUS,2016,20.6
Austria,AUT,2016,21.9
Azerbaijan,AZE,2016,78.1
Bahamas,BHS,2016,56.2
Bahrain,BHR,2016,91.2
Bangladesh,BGD,2016,97.8
Barbados,BRB,2016,49.5
Belarus,BLR,2016,26.4
Belgium,BEL,2016,23.5
Belize,BLZ,2016,58.5
Benin,BEN,2016,73.9
Bhutan,BTN,2016,70.4
Bolivia,BOL,2016,54.6
Bosnia and Herzegovina,BIH,2016,52.1
Botswana,BWA,2016,68
Brazil,BRA,2016,59.7
Brunei,BRN,2016,66.7
Bulgaria,BGR,2016,34
Burkina Faso,BFA,2016,63.1
Burundi,BDI,2016,68.4
Cambodia,KHM,2016,69.1
Canada,CAN,2016,35.5
Central African Republic,CAF,2016,62.4
Chad,TCD,2016,77.6
Chile,CHL,2016,32.4
China,CHN,2016,44.1
Colombia,COL,2016,61.7
Comoros,COM,2016,95.9
Congo,COG,2016,48.3
Cook Islands,COK,2016,49.4
Costa Rica,CRI,2016,63.4
Cote d'Ivoire,CIV,2016,61.5
Croatia,HRV,2016,40.3
Cuba,CUB,2016,53.9
Cyprus,CYP,2016,31.2
Czechia,CZE,2016,24.6
Democratic Republic of Congo,COD,2016,63.6
Denmark,DNK,2016,25.6
Djibouti,DJI,2016,80.3
Dominica,DMA,2016,54.8
Dominican Republic,DOM,2016,57
Ecuador,ECU,2016,53.5
Egypt,EGY,2016,97.2
El Salvador,SLV,2016,70.6
Equatorial Guinea,GNQ,2016,27.1
Eritrea,ERI,2016,79.7
Estonia,EST,2016,27.2
Eswatini,SWZ,2016,71.2
Ethiopia,ETH,2016,77.4
Fiji,FJI,2016,82.3
Finland,FIN,2016,27.5
France,FRA,2016,24.7
Gabon,GAB,2016,33.5
Gambia,GMB,2016,73.3
Georgia,GEO,2016,64.9
Germany,DEU,2016,20.6
Ghana,GHA,2016,74
Greece,GRC,2016,34.6
Grenada,GRD,2016,50.4
Guatemala,GTM,2016,72.7
Guinea,GIN,2016,78.4
Guinea-Bissau,GNB,2016,71.2
Guyana,GUY,2016,60.9
Haiti,HTI,2016,64.9
Honduras,HND,2016,70.2
Hungary,HUN,2016,33.4
Iceland,ISL,2016,28.5
India,IND,2016,61.2
Indonesia,IDN,2016,77.3
Iran,IRN,2016,96.5
Iraq,IRQ,2016,96.9
Ireland,IRL,2016,18.7
Israel,ISR,2016,45
Italy,ITA,2016,32.2
Jamaica,JAM,2016,65.1
Japan,JPN,2016,43
Jordan,JOR,2016,97
Kazakhstan,KAZ,2016,60.1
Kenya,KEN,2016,76.1
Kiribati,KIR,2016,87.9
Kuwait,KWT,2016,99.4
Kyrgyzstan,KGZ,2016,74.1
Laos,LAO,2016,60
Latvia,LVA,2016,25
Lebanon,LBN,2016,93.9
Lesotho,LSO,2016,82.2
Liberia,LBR,2016,69.2
Libya,LBY,2016,99.9
Lithuania,LTU,2016,20.9
Luxembourg,LUX,2016,8.2
Madagascar,MDG,2016,79.1
Malawi,MWI,2016,76.3
Malaysia,MYS,2016,70.4
Maldives,MDV,2016,92.1
Mali,MLI,2016,78.1
Malta,MLT,2016,37
Mauritania,MRT,2016,99.1
Mauritius,MUS,2016,68.8
Mexico,MEX,2016,57.3
Micronesia (country),FSM,2016,84.8
Moldova,MDA,2016,33.4
Mongolia,MNG,2016,66.4
Montenegro,MNE,2016,46
Morocco,MAR,2016,97.4
Mozambique,MOZ,2016,79
Myanmar,MMR,2016,72.9
Namibia,NAM,2016,69.7
Nauru,NRU,2016,78
Nepal,NPL,2016,72.9
Netherlands,NLD,2016,27.9
New Zealand,NZL,2016,25.4
Nicaragua,NIC,2016,67.5
Niger,NER,2016,79.8
Nigeria,NGA,2016,47.4
Niue,NIU,2016,66.8
North Korea,PRK,2016,59.7
North Macedonia,MKD,2016,46.3
Norway,NOR,2016,21
Oman,OMN,2016,91.7
Pakistan,PAK,2016,98.8
Panama,PAN,2016,52.3
Papua New Guinea,PNG,2016,86.3
Paraguay,PRY,2016,64
Peru,PER,2016,46.8
Philippines,PHL,2016,66.9
Poland,POL,2016,32
Portugal,PRT,2016,30.8
Qatar,QAT,2016,54.4
Romania,ROU,2016,32.8
Russia,RUS,2016,41.9
Rwanda,RWA,2016,65
Saint Kitts and Nevis,KNA,2016,45.2
Saint Lucia,LCA,2016,50.3
Saint Vincent and the Grenadines,VCT,2016,53.4
Samoa,WSM,2016,84
Sao Tome and Principe,STP,2016,66
Saudi Arabia,SAU,2016,94.2
Senegal,SEN,2016,78.9
Serbia,SRB,2016,40
Seychelles,SYC,2016,45.1
Sierra Leone,SLE,2016,69.1
Singapore,SGP,2016,30
South Africa,ZAF,2016,69
South Korea,KOR,2016,36.1
Spain,ESP,2016,31.4
Sri Lanka,LKA,2016,71.3
Sudan,SDN,2016,97.7
Suriname,SUR,2016,57.8
Sweden,SWE,2016,27
Switzerland,CHE,2016,18.8
Syria,SYR,2016,98
Tajikistan,TJK,2016,79.3
Tanzania,TZA,2016,63.6
Thailand,THA,2016,59.1
Timor,TLS,2016,78.4
Togo,TGO,2016,74.3
Tonga,TON,2016,85.8
Trinidad and Tobago,TTO,2016,41.3
Tunisia,TUN,2016,94.8
Turkey,TUR,2016,93.1
Turkmenistan,TKM,2016,69.6
Tuvalu,TUV,2016,85.6
Uganda,UGA,2016,63.7
Ukraine,UKR,2016,38.2
United Arab Emirates,ARE,2016,81.5
United Kingdom,GBR,2016,26.6
United States,USA,2016,28.3
Uruguay,URY,2016,31.1
Uzbekistan,UZB,2016,79.2
Vanuatu,VUT,2016,86.4
Venezuela,VEN,2016,62
Yemen,YEM,2016,99.3
Zambia,ZMB,2016,72.7
Zimbabwe,ZWE,2016,82.4
