Entity,Code,Year,"Indicator:Alcohol, consumption of pure alcohol by type of beverage (%) - Beverage Types:Spirits"
Albania,ALB,2016,37.6
Algeria,DZA,2016,18.3
Andorra,AND,2016,23.9
Angola,AGO,2016,11.3
Antigua and Barbuda,ATG,2016,45.4
Argentina,ARG,2016,9.6
Armenia,ARM,2016,82.3
Australia,AUS,2016,12.9
Austria,AUT,2016,14.9
Azerbaijan,AZE,2016,0
Bahamas,BHS,2016,41.2
Bahrain,BHR,2016,45.2
Barbados,BRB,2016,50
Belarus,BLR,2016,49
Belgium,BEL,2016,14.2
Belize,BLZ,2016,26.7
Benin,BEN,2016,13.1
Bhutan,BTN,2016,49.6
Bolivia,BOL,2016,21.3
Bosnia and Herzegovina,BIH,2016,12.4
Botswana,BWA,2016,4.4
Brazil,BRA,2016,34.3
Brunei,BRN,2016,0
Bulgaria,BGR,2016,42.9
Burkina Faso,BFA,2016,5
Burundi,BDI,2016,0.1
Cambodia,KHM,2016,11.2
Cameroon,CMR,2016,0.1
Canada,CAN,2016,25.6
Cape Verde,CPV,2016,0
Central African Republic,CAF,2016,0
Chad,TCD,2016,5.3
Chile,CHL,2016,30.8
China,CHN,2016,67.2
Colombia,COL,2016,27.2
Comoros,COM,2016,44.8
Congo,COG,2016,10.3
Cook Islands,COK,2016,52.2
Costa Rica,CRI,2016,27.9
Cote d'Ivoire,CIV,2016,0.2
Croatia,HRV,2016,13
Cuba,CUB,2016,57.4
Cyprus,CYP,2016,41.9
Czechia,CZE,2016,25.4
Democratic Republic of Congo,COD,2016,0.7
Denmark,DNK,2016,17.1
Djibouti,DJI,2016,55
Dominica,DMA,2016,88.9
Dominican Republic,DOM,2016,41.9
Ecuador,ECU,2016,17.8
Egypt,EGY,2016,33.1
El Salvador,SLV,2016,50.7
Equatorial Guinea,GNQ,2016,0
Eritrea,ERI,2016,0.2
Estonia,EST,2016,50.3
Eswatini,SWZ,2016,0
Ethiopia,ETH,2016,8.3
Fiji,FJI,2016,28.9
Finland,FIN,2016,21.5
France,FRA,2016,20.7
Gabon,GAB,2016,13.4
Gambia,GMB,2016,0
Georgia,GEO,2016,38.5
Germany,DEU,2016,18.9
Ghana,GHA,2016,8
Greece,GRC,2016,21.8
Grenada,GRD,2016,48.3
Guatemala,GTM,2016,41.7
Guinea,GIN,2016,0
Guinea-Bissau,GNB,2016,13.7
Guyana,GUY,2016,50.8
Haiti,HTI,2016,97.3
Honduras,HND,2016,52.1
Hungary,HUN,2016,32.3
Iceland,ISL,2016,15.5
India,IND,2016,92.4
Indonesia,IDN,2016,4.6
Iraq,IRQ,2016,25.7
Ireland,IRL,2016,18.8
Israel,ISR,2016,39.5
Italy,ITA,2016,9.8
Jamaica,JAM,2016,54.2
Japan,JPN,2016,40
Jordan,JOR,2016,75.9
Kazakhstan,KAZ,2016,62.9
Kenya,KEN,2016,21.4
Kiribati,KIR,2016,0
Kyrgyzstan,KGZ,2016,86.2
Laos,LAO,2016,49.8
Latvia,LVA,2016,40
Lebanon,LBN,2016,49.2
Lesotho,LSO,2016,10.5
Liberia,LBR,2016,88.2
Lithuania,LTU,2016,37.1
Luxembourg,LUX,2016,20
Madagascar,MDG,2016,38
Malawi,MWI,2016,11.3
Malaysia,MYS,2016,17.4
Maldives,MDV,2016,31.9
Mali,MLI,2016,0
Malta,MLT,2016,28.7
Mauritius,MUS,2016,30.8
Mexico,MEX,2016,20.4
Micronesia (country),FSM,2016,32.8
Moldova,MDA,2016,25.2
Mongolia,MNG,2016,54.5
Montenegro,MNE,2016,44.1
Morocco,MAR,2016,17
Mozambique,MOZ,2016,12.4
Myanmar,MMR,2016,67.7
Namibia,NAM,2016,13.9
Nauru,NRU,2016,74.3
Nepal,NPL,2016,20
Netherlands,NLD,2016,16.4
New Zealand,NZL,2016,28.9
Nicaragua,NIC,2016,59.5
Niger,NER,2016,41.4
Nigeria,NGA,2016,0.6
Niue,NIU,2016,30.6
North Korea,PRK,2016,97.3
North Macedonia,MKD,2016,17.4
Norway,NOR,2016,16.7
Oman,OMN,2016,57
Panama,PAN,2016,19.4
Papua New Guinea,PNG,2016,2.1
Paraguay,PRY,2016,27.3
Peru,PER,2016,31.8
Philippines,PHL,2016,72
Poland,POL,2016,36.1
Portugal,PRT,2016,7.7
Qatar,QAT,2016,63.4
Romania,ROU,2016,16.4
Russia,RUS,2016,38.6
Rwanda,RWA,2016,2.7
Saint Kitts and Nevis,KNA,2016,43.4
Saint Lucia,LCA,2016,50
Saint Vincent and the Grenadines,VCT,2016,57.2
Samoa,WSM,2016,0
Sao Tome and Principe,STP,2016,0
Senegal,SEN,2016,8.5
Serbia,SRB,2016,25.4
Seychelles,SYC,2016,6.3
Sierra Leone,SLE,2016,0
Singapore,SGP,2016,13.4
Slovakia,SVK,2016,41.9
Slovenia,SVN,2016,8
Solomon Islands,SLB,2016,3.3
South Africa,ZAF,2016,17.8
South Korea,KOR,2016,7.1
Spain,ESP,2016,27.8
Sri Lanka,LKA,2016,84.9
Suriname,SUR,2016,48.8
Sweden,SWE,2016,14.1
Switzerland,CHE,2016,18.5
Syria,SYR,2016,87.2
Tajikistan,TJK,2016,60.9
Tanzania,TZA,2016,1.6
Thailand,THA,2016,68.9
Timor,TLS,2016,0
Togo,TGO,2016,18.2
Tonga,TON,2016,27.9
Trinidad and Tobago,TTO,2016,37.1
Tunisia,TUN,2016,3.8
Turkey,TUR,2016,33.8
Turkmenistan,TKM,2016,38
Tuvalu,TUV,2016,14.1
Uganda,UGA,2016,3.1
Ukraine,UKR,2016,51.5
United Arab Emirates,ARE,2016,81.9
United Kingdom,GBR,2016,22.5
United States,USA,2016,34.9
Uruguay,URY,2016,21.1
Uzbekistan,UZB,2016,56.9
Vanuatu,VUT,2016,36.1
Venezuela,VEN,2016,29.2
Vietnam,VNM,2016,7.7
Yemen,YEM,2016,10.5
Zambia,ZMB,2016,0.4
Zimbabwe,ZWE,2016,12
