Entity,Code,Year,"Indicator:Alcohol, consumption of pure alcohol by type of beverage (%) - Beverage Types:Wine"
Albania,ALB,2016,26.5
Algeria,DZA,2016,24.4
Andorra,AND,2016,42
Angola,AGO,2016,17.6
Antigua and Barbuda,ATG,2016,18.3
Argentina,ARG,2016,40.2
Armenia,ARM,2016,7
Australia,AUS,2016,37.5
Austria,AUT,2016,31.6
Azerbaijan,AZE,2016,36.9
Bahamas,BHS,2016,16.6
Bahrain,BHR,2016,6.2
Barbados,BRB,2016,10.5
Belarus,BLR,2016,2.2
Belgium,BEL,2016,38.3
Belize,BLZ,2016,1.9
Benin,BEN,2016,9.6
Bhutan,BTN,2016,4.2
Bolivia,BOL,2016,4.3
Bosnia and Herzegovina,BIH,2016,8.6
Botswana,BWA,2016,23.5
Brazil,BRA,2016,3.4
Brunei,BRN,2016,0
Bulgaria,BGR,2016,17.2
Burkina Faso,BFA,2016,2.7
Burundi,BDI,2016,0.1
Cambodia,KHM,2016,0.6
Cameroon,CMR,2016,1.4
Canada,CAN,2016,25.6
Cape Verde,CPV,2016,45
Central African Republic,CAF,2016,0.7
Chad,TCD,2016,1
Chile,CHL,2016,33.1
China,CHN,2016,3.1
Colombia,COL,2016,1.1
Comoros,COM,2016,30.6
Congo,COG,2016,4.7
Cook Islands,COK,2016,16.1
Costa Rica,CRI,2016,7.2
Cote d'Ivoire,CIV,2016,5
Croatia,HRV,2016,39
Cuba,CUB,2016,4.9
Cyprus,CYP,2016,28.4
Czechia,CZE,2016,21.3
Democratic Republic of Congo,COD,2016,0.6
Denmark,DNK,2016,44.7
Djibouti,DJI,2016,16.7
Dominica,DMA,2016,0
Dominican Republic,DOM,2016,4.4
Ecuador,ECU,2016,1.5
Egypt,EGY,2016,4.4
El Salvador,SLV,2016,1.3
Equatorial Guinea,GNQ,2016,17
Eritrea,ERI,2016,0.1
Estonia,EST,2016,7.4
Eswatini,SWZ,2016,16.1
Ethiopia,ETH,2016,0.3
Fiji,FJI,2016,1.2
Finland,FIN,2016,20.6
France,FRA,2016,58.8
Gabon,GAB,2016,9.2
Gambia,GMB,2016,2.1
Georgia,GEO,2016,43
Germany,DEU,2016,28.4
Ghana,GHA,2016,6.6
Greece,GRC,2016,45.5
Grenada,GRD,2016,7
Guatemala,GTM,2016,2.1
Guinea,GIN,2016,8.9
Guinea-Bissau,GNB,2016,31.3
Guyana,GUY,2016,0.2
Haiti,HTI,2016,0.3
