IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001461,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2018-08-30T05:00:00.000Z
SA_0000001461,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,.,,,EN,2018-08-30T05:00:00.000Z
SA_0000001461,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2016,true,Sex,Male,MLE,,,,,,,,,,,,,,,,.,,,EN,2018-08-30T05:00:00.000Z
SA_0000001461,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2018-08-30T05:00:00.000Z
SA_0000001461,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,.,,,EN,2018-08-30T05:00:00.000Z
SA_0000001461,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016,true,Sex,Male,MLE,,,,,,,,,,,,,,,,.,,,EN,2018-08-30T05:00:00.000Z
SA_0000001461,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",numeric,EUR,Europe,Country,SMR,San Marino,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2018-08-30T05:00:00.000Z
SA_0000001461,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",numeric,EUR,Europe,Country,SMR,San Marino,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,.,,,EN,2018-08-30T05:00:00.000Z
SA_0000001461,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",numeric,EUR,Europe,Country,SMR,San Marino,Year,2016,true,Sex,Male,MLE,,,,,,,,,,,,,,,,.,,,EN,2018-08-30T05:00:00.000Z
SA_0000001461,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",numeric,AFR,Africa,Country,SSD,South Sudan,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2018-08-30T05:00:00.000Z
