Entity,Code,Year,"Indicator:Alcohol, consumption of pure alcohol by type of beverage (%) - Beverage Types:Beer"
Albania,ALB,2016,34.3
Algeria,DZA,2016,57.3
Andorra,AND,2016,34.1
Angola,AGO,2016,70.3
Antigua and Barbuda,ATG,2016,33
Argentina,ARG,2016,39.9
Armenia,ARM,2016,10.6
Australia,AUS,2016,39.9
Austria,AUT,2016,53.5
Azerbaijan,AZE,2016,61.5
Bahamas,BHS,2016,39.2
Bahrain,BHR,2016,19
Barbados,BRB,2016,37.6
Belarus,BLR,2016,22.8
Belgium,BEL,2016,44.4
Belize,BLZ,2016,69.1
Benin,BEN,2016,63.7
Bhutan,BTN,2016,46.2
Bolivia,BOL,2016,72.8
Bosnia and Herzegovina,BIH,2016,75.8
Botswana,BWA,2016,48.1
Brazil,BRA,2016,61.8
Brunei,BRN,2016,100
Bulgaria,BGR,2016,38.8
Burkina Faso,BFA,2016,18
Burundi,BDI,2016,39.3
Cambodia,KHM,2016,88.1
Cameroon,CMR,2016,43.5
Canada,CAN,2016,45.1
Cape Verde,CPV,2016,55
Central African Republic,CAF,2016,25.9
Chad,TCD,2016,70.2
Chile,CHL,2016,36.1
China,CHN,2016,29.6
Colombia,COL,2016,71.3
Comoros,COM,2016,24.6
Congo,COG,2016,84.4
Cook Islands,COK,2016,31.7
Costa Rica,CRI,2016,64.1
Cote d'Ivoire,CIV,2016,21.9
Croatia,HRV,2016,44.5
Cuba,CUB,2016,37.3
Cyprus,CYP,2016,29.7
Czechia,CZE,2016,53.3
Democratic Republic of Congo,COD,2016,38.9
Denmark,DNK,2016,37.4
Djibouti,DJI,2016,27.5
Dominica,DMA,2016,11.1
Dominican Republic,DOM,2016,52.2
Ecuador,ECU,2016,79.9
Egypt,EGY,2016,62
El Salvador,SLV,2016,47.8
Equatorial Guinea,GNQ,2016,83
Eritrea,ERI,2016,62.1
Estonia,EST,2016,32.7
Eswatini,SWZ,2016,24.6
Ethiopia,ETH,2016,54.6
Fiji,FJI,2016,69.8
Finland,FIN,2016,48.8
France,FRA,2016,18.8
Gabon,GAB,2016,76.3
Gambia,GMB,2016,8.5
Georgia,GEO,2016,18.4
Germany,DEU,2016,52.6
Ghana,GHA,2016,28.3
Greece,GRC,2016,31.5
Grenada,GRD,2016,40.9
Guatemala,GTM,2016,56.1
Guinea,GIN,2016,91.1
Guinea-Bissau,GNB,2016,13.7
Guyana,GUY,2016,48.4
Haiti,HTI,2016,2.3
Honduras,HND,2016,46.6
Hungary,HUN,2016,35.5
Iceland,ISL,2016,56.5
India,IND,2016,7.5
Indonesia,IDN,2016,18.5
Iraq,IRQ,2016,71
Ireland,IRL,2016,47
Israel,ISR,2016,54.4
Italy,ITA,2016,25.4
Jamaica,JAM,2016,36.3
Japan,JPN,2016,18.2
Jordan,JOR,2016,19.9
Kazakhstan,KAZ,2016,30.5
Kenya,KEN,2016,39.8
Kiribati,KIR,2016,100
Kyrgyzstan,KGZ,2016,11.6
Laos,LAO,2016,50.1
Latvia,LVA,2016,42.8
Lebanon,LBN,2016,33.9
Lesotho,LSO,2016,57.4
Liberia,LBR,2016,9.4
Lithuania,LTU,2016,43.6
Luxembourg,LUX,2016,35.4
Madagascar,MDG,2016,53.8
Malawi,MWI,2016,8.8
Malaysia,MYS,2016,60.7
Maldives,MDV,2016,30.8
Mali,MLI,2016,15.8
Malta,MLT,2016,36.4
Mauritius,MUS,2016,53.9
Mexico,MEX,2016,77.1
Micronesia (country),FSM,2016,58.1
Moldova,MDA,2016,16.2
Mongolia,MNG,2016,43.6
Montenegro,MNE,2016,10.8
Morocco,MAR,2016,42.9
Mozambique,MOZ,2016,78.7
Myanmar,MMR,2016,22.4
Namibia,NAM,2016,60.2
Nauru,NRU,2016,22
Nepal,NPL,2016,31
Netherlands,NLD,2016,47.8
New Zealand,NZL,2016,37.4
Nicaragua,NIC,2016,39.7
Niger,NER,2016,45
Nigeria,NGA,2016,7.9
Niue,NIU,2016,56.3
North Korea,PRK,2016,2.7
North Macedonia,MKD,2016,35.3
Norway,NOR,2016,43.9
Oman,OMN,2016,39.8
Panama,PAN,2016,76.9
Papua New Guinea,PNG,2016,95.2
Paraguay,PRY,2016,54.2
Peru,PER,2016,60.1
Philippines,PHL,2016,27.3
Poland,POL,2016,56.1
Portugal,PRT,2016,26.1
Qatar,QAT,2016,25.9
Romania,ROU,2016,55.6
Russia,RUS,2016,39
Rwanda,RWA,2016,14.8
Saint Kitts and Nevis,KNA,2016,47.8
Saint Lucia,LCA,2016,35.4
Saint Vincent and the Grenadines,VCT,2016,36.6
Samoa,WSM,2016,94.1
Sao Tome and Principe,STP,2016,19.8
Senegal,SEN,2016,56.4
Serbia,SRB,2016,32
Seychelles,SYC,2016,68.9
Sierra Leone,SLE,2016,4
Singapore,SGP,2016,70
Slovakia,SVK,2016,33.7
Slovenia,SVN,2016,41.4
Solomon Islands,SLB,2016,93.3
South Africa,ZAF,2016,56
South Korea,KOR,2016,22.2
Spain,ESP,2016,54.2
Sri Lanka,LKA,2016,13.2
Suriname,SUR,2016,44.9
Sweden,SWE,2016,36.4
Switzerland,CHE,2016,32.1
Syria,SYR,2016,11.6
Tajikistan,TJK,2016,37.9
Tanzania,TZA,2016,12.2
Thailand,THA,2016,28.3
Timor,TLS,2016,67.6
Togo,TGO,2016,37
Tonga,TON,2016,60.7
Trinidad and Tobago,TTO,2016,57.9
Tunisia,TUN,2016,72.2
Turkey,TUR,2016,57.6
Turkmenistan,TKM,2016,26.8
Tuvalu,TUV,2016,0.6
Uganda,UGA,2016,11
Ukraine,UKR,2016,42.3
United Arab Emirates,ARE,2016,10.1
United Kingdom,GBR,2016,35
United States,USA,2016,47
Uruguay,URY,2016,35.2
Uzbekistan,UZB,2016,34.4
Vanuatu,VUT,2016,38.5
Venezuela,VEN,2016,69.2
Vietnam,VNM,2016,91.5
Yemen,YEM,2016,89.5
Zambia,ZMB,2016,36.4
Zimbabwe,ZWE,2016,62.8
