IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2016,true,Sex,Male,MLE,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016,true,Sex,Male,MLE,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2016,true,Sex,Male,MLE,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EUR,Europe,Country,SMR,San Marino,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EUR,Europe,Country,SMR,San Marino,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EUR,Europe,Country,SMR,San Marino,Year,2016,true,Sex,Male,MLE,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,AFR,Africa,Country,SSD,South Sudan,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,AFR,Africa,Country,SSD,South Sudan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,AFR,Africa,Country,SSD,South Sudan,Year,2016,true,Sex,Male,MLE,,,,,,,,,,,,,,,,.,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.5,,,,,,0.5,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.5,,,,,,0.5,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.5,,,,,,0.5,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.6,,,,,,0.6,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.6,,,,,,0.6,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.8,,,,,,0.8,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.1,,,,,,1.1,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,AFR,Africa,Country,MRT,Mauritania,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.2,,,,,,1.2,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.3,,,,,,1.3,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.5,,,,,,1.5,,,EN,2020-07-23T05:00:00.000Z
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,1.7,,,,,,1.7,,,EN,2020-07-23T05:00:00.000Z
